흑,백,덤,결과,대국일자,대국명,제한시간,초읽기 횟수,초읽기 시간,대국룰,흑번국가,백번국가
姜東潤,申眞諝,6.5,W+R,2023-05-19,2022-2023韓国囲碁リーグ,2400.0,,,japanese,kr,kr
申眞諝,洪性志,6.5,B+R,2023-05-18,第6期韓国竜星戦1回戦,1800.0,,,japanese,kr,kr
姜東潤,申眞諝,6.5,B+R,2023-05-16,2023YK建機杯リーグ,600.0,,,japanese,kr,kr
白洪淅,申眞諝,6.5,B+R,2023-05-12,第28回GSカルテックス杯プロ棋戦2回戦,600.0,3,40,japanese,kr,kr
申眞諝,檀嘯,7.5,B+R,2023-05-09,第1回衢州爛柯杯ワールド囲碁オープン準決勝,7200.0,5,60,chinese,kr,ch
申眞諝,朴廷桓,6.5,W+R,2025-05-21,第30回LG杯朝鮮日報棋王戦2回戦,10800.0,5,40,japanese,kr,kr
申眞諝,李維清,7.5,B+¾,2023-05-08,第1回衢州爛柯杯ワールド囲碁オープン3回戦,7200.0,5,60,chinese,kr,ch
申眞諝,丁浩,7.5,B+R,2023-05-06,第1回衢州爛柯杯ワールド囲碁オープン2回戦,7200.0,5,60,chinese,kr,ch
申眞諝,李欽誠,7.5,B+R,2023-05-05,第1回衢州爛柯杯ワールド囲碁オープン1回戦,7200.0,5,60,chinese,kr,ch
金丞求,申眞諝,6.5,W+R,2023-05-02,2023YK建機杯リーグ,600.0,,,japanese,kr,kr
王元均,申眞諝,6.5,W+R,2023-04-26,2022-2023韓国囲碁リーグ,2400.0,,,japanese,tp,kr
申眞諝,朴廷桓,6.5,B+R,2023-04-17,2023YK建機杯リーグ,600.0,,,japanese,kr,kr
申眞諝,李志賢,6.5,B+R,2023-04-15,2022-2023韓国囲碁リーグ,2400.0,,,japanese,kr,kr
申眞諝,李映九,6.5,B+R,2023-04-15,2022-2023韓国囲碁リーグ,2400.0,,,japanese,kr,kr
申眞諝,韓友賑,6.5,B+R,2023-04-13,2022-2023韓国囲碁リーグ,2400.0,,,japanese,kr,kr
李元栄,申眞諝,6.5,W+R,2023-04-10,第24回マキシムコーヒー杯入神最強戦決勝三番勝負第2局,600.0,5,40,japanese,kr,kr
元晟溱,朴廷桓,6.5,W+R,2025-05-15,第30回GSカルテックス杯プロ棋戦敗者組2回戦,1800.0,,,japanese,kr,kr
申眞諝,元晟溱,6.5,B+R,2023-04-05,2023YK建機杯リーグ,600.0,,,japanese,kr,kr
申眞諝,李元栄,6.5,B+R,2023-04-03,第24回マキシムコーヒー杯入神最強戦決勝三番勝負第1局,600.0,5,40,japanese,kr,kr
申眞諝,金眞輝,6.5,B+8.5,2023-04-01,2022-2023韓国囲碁リーグ,2400.0,,,japanese,kr,kr
申眞諝,朴廷桓,6.5,B+R,2023-04-01,2022-2023韓国囲碁リーグ,2400.0,,,japanese,kr,kr
金明訓,申眞諝,6.5,W+R,2023-03-30,2022-2023韓国囲碁リーグ,2400.0,,,japanese,kr,kr
崔哲瀚,申眞諝,6.5,W+T,2023-03-30,2022-2023韓国囲碁リーグ,2400.0,,,japanese,kr,kr
卞相壹,申眞諝,6.5,W+R,2023-03-27,2023YK建機杯リーグ,600.0,,,japanese,kr,kr
